# Automatically generated
# duptype id depth size device inode priority name
DUPTYPE_WITHIN_SAME_TREE -516 2 1276 66309 20847171 1 build/Aspirin/0631/1.wav
DUPTYPE_WITHIN_SAME_TREE -516 2 1276 66309 20971656 1 build/Aspirin/0810/1.wav
DUPTYPE_FIRST_OCCURRENCE 2974 2 1276 66309 20847116 1 build/FluidR3/0622/4.wav
DUPTYPE_WITHIN_SAME_TREE -2974 2 1276 66309 20971859 1 build/FluidR3/0840/4.wav
DUPTYPE_WITHIN_SAME_TREE -2974 2 1276 66309 20972104 1 build/FluidR3/0870/4.wav
DUPTYPE_WITHIN_SAME_TREE -2974 2 1276 66309 20971666 1 build/FluidR3/0810/4.wav
DUPTYPE_FIRST_OCCURRENCE 6766 2 1276 66309 20847066 1 build/JCLive/0620/12.wav
DUPTYPE_WITHIN_SAME_TREE -6766 2 1276 66309 20971681 1 build/JCLive/0810/4.wav
DUPTYPE_FIRST_OCCURRENCE 6764 2 1276 66309 20847064 1 build/JCLive/0620/10.wav
DUPTYPE_WITHIN_SAME_TREE -6764 2 1276 66309 20847062 1 build/JCLive/0620/8.wav
DUPTYPE_WITHIN_SAME_TREE -6764 2 1276 66309 20971680 1 build/JCLive/0810/3.wav
DUPTYPE_FIRST_OCCURRENCE 1293 2 1276 66309 18619156 1 build/Chaos/0160/2.wav
DUPTYPE_WITHIN_SAME_TREE -1293 2 1276 66309 18619157 1 build/Chaos/0160/3.wav
DUPTYPE_FIRST_OCCURRENCE 1211 2 1276 66309 18098365 1 build/Chaos/0040/19.wav
DUPTYPE_WITHIN_SAME_TREE -1211 2 1276 66309 18879786 1 build/Chaos/0220/5.wav
DUPTYPE_WITHIN_SAME_TREE -1211 2 1276 66309 18879856 1 build/Chaos/0230/10.wav
DUPTYPE_WITHIN_SAME_TREE -1211 2 1276 66309 18098553 1 build/Chaos/0050/29.wav
DUPTYPE_FIRST_OCCURRENCE 2973 2 1276 66309 20847115 1 build/FluidR3/0622/3.wav
DUPTYPE_WITHIN_SAME_TREE -2973 2 1276 66309 20971858 1 build/FluidR3/0840/3.wav
DUPTYPE_WITHIN_SAME_TREE -2973 2 1276 66309 20971665 1 build/FluidR3/0810/3.wav
DUPTYPE_WITHIN_SAME_TREE -2973 2 1276 66309 20972103 1 build/FluidR3/0870/3.wav
DUPTYPE_FIRST_OCCURRENCE 1295 2 1276 66309 18619158 1 build/Chaos/0160/4.wav
DUPTYPE_WITHIN_SAME_TREE -1295 2 1276 66309 18748481 1 build/Chaos/0190/3.wav
DUPTYPE_WITHIN_SAME_TREE -1295 2 1276 66309 18619204 1 build/Chaos/0170/2.wav
DUPTYPE_WITHIN_SAME_TREE -1295 2 1276 66309 18619159 1 build/Chaos/0160/5.wav
DUPTYPE_WITHIN_SAME_TREE -1295 2 1276 66309 18748479 1 build/Chaos/0190/1.wav
DUPTYPE_FIRST_OCCURRENCE 316 2 1276 66309 18225153 1 build/Aspirin/0080/1.wav
DUPTYPE_WITHIN_SAME_TREE -316 2 1276 66309 18225157 1 build/Chaos/0080/1.wav
DUPTYPE_WITHIN_SAME_TREE -316 2 1276 66309 18486847 1 build/Chaos/0110/3.wav
